feature,mutual_info
w_log_ach_points,0.03432584286156537
w_premium_share,0.03383637095803138
w_log_population,0.03368271325548022
w_log_activity_year,0.033665305984193594
w_mean_level,0.032301681849912
w_log_premium_accounts,0.03194217902144025
w_pct_lvl100,0.031928580066983514
w_log_guilds,0.031920077270826575
w_log_people_in_guilds,0.031501365069912524
vol_ew3,0.029762185759516058
w_log_active_chars,0.027027949408451768
ret_ew14,0.025931604490497584
ret_sd7,0.02447109667063696
log_age,0.024045413381945657
ret_ew7,0.023585894366369153
ret_ew3,0.02269300737857982
world_age,0.021848634006997436
ret_sd30,0.02057746934821658
w_log_record_online,0.020290022966326315
days_to_update,0.01935502220885521
breadth_up,0.019123878233732405
doy_sin,0.018807591474247154
vol_ew14,0.016989712635036014
ret_sd14,0.01691959595795911
ret_lag1,0.01647538189256359
vol_x_breadth,0.015820316527151768
ret_lag2,0.015484351312599287
doy_cos,0.015445230433303259
vol_ew7,0.014928578764362044
beta_gap,0.014923202826347293
ret_mean14,0.01481794789889257
mom14,0.014816222727635164
ret_mean7,0.014363371809327674
mom7,0.014363201529314473
log_players_killed,0.013411937047910882
dist_ma30,0.013263768133978004
xw_ret,0.011250405469384717
xw_med_logp,0.01113824708094846
xw_disp,0.010984522737946811
premium_x_disp,0.01084497705076437
rel_kills,0.01068396996051657
days_since_battleye,0.010494705109369118
days_since_merge,0.010079760056074694
boss_share,0.010073226026617199
ret_lag14,0.00981132370429183
log_day_bought,0.009747719984975589
xw_kills,0.009456608251317888
w_engagement,0.009430431065005074
top10_share,0.009253849178650242
turnover_7,0.009026070046640022
rel_premium_z,0.008669400639655933
dist_ma90,0.00847546509302699
log_day_sold,0.008342309523411195
ret_lag3,0.007839265901827375
ret_mean30,0.007708311161804815
mom30,0.0077076505145026175
log_monsters_killed,0.007602981278532539
g30_kills_pp,0.007389035243998698
turnover_imb,0.005841475333027368
idx_activity,0.005437474552808297
pvp_retro,0.00530453933570163
ret_lag7,0.0052925326505093295
log_players_online_avg,0.004520183610136286
rel_premium,0.004519095491643199
hunt_hhi,0.004179030920456128
month,0.004036992250073368
ret_lag21,0.0037703430206610378
ret_skew30,0.003580586739427183
log_races_hunted,0.003272175578918457
g30_players_killed,0.003250366426547302
px_z30,0.003239420196230469
region_north,0.002980235439919765
ev_double_reward,0.002754000628648834
region_south,0.0027509776373024764
event_soon,0.0024211338302679852
merged_recently,0.0022789047923279515
region_europe,0.002255785928968468
g30_monsters_killed,0.0022445989019139745
kills_x_pvp,0.0021901374470760793
g7_players_online_avg,0.0021046684181769137
pvp_optional,0.001924674405502813
log_boss_kills,0.0018851673856170592
optional_pvp,0.0018577108270272369
ev_xp_skill,0.0018410042923335812
post_update_30,0.0017319115325244994
days_to_event,0.0016423761783548319
has_active_traders,0.0014157126119103136
is_weekend,0.0013958433146761262
g30_races_hunted,0.0010711424109350887
death_ratio,0.0008899142980789421
g7_monsters_killed,0.0006859382176482853
post_update_14,0.0006469551742260826
n_events,0.0006383607051287932
never_battleye,0.0005432609289275359
ev_rapid_respawn,0.0005151250288752962
update_release,0.0004880727537189822
pvp_hardcore,0.0001196544911190589
xfer_regular,0.0
xfer_locked,0.0
xfer_blocked,0.0
w_premium_only,0.0
battleye,0.0
ret_lag5,0.0
g7_races_hunted,0.0
deaths_pp,0.0
dow_cos,0.0
dow_sin,0.0
ev_any,0.0
ev_exaltation,0.0
ev_loot,0.0
g30_boss_kills,0.0
g30_players_online_avg,0.0
g7_boss_kills,0.0
g7_kills_pp,0.0
g7_players_killed,0.0
has_day_bought,0.0
pvp_open,0.0
has_day_sold,0.0
idx_inflation_pressure,0.0
idx_premium_demand,0.0
idx_premium_demand_7,0.0
is_merge_dest,0.0
kills_x_event,0.0
log_active_traders,0.0
log_kills_pp,0.0
pre_update_14,0.0
pre_update_30,0.0
pre_update_7,0.0
never_merged,0.0
